City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,8.23,85,98,4.02,NZ,1691607960
1,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1691607960
2,iqaluit,63.7506,-68.5145,4.85,100,100,3.58,CA,1691607722
3,sarakhs,36.5449,61.1577,30.09,23,9,2.5,IR,1691607961
4,hermanus,-34.4187,19.2345,14.33,88,0,4.93,ZA,1691607961
5,kabinda,-6.1333,24.4833,25.17,28,68,0.97,CD,1691607961
6,flin flon,54.7682,-101.865,16.91,42,20,3.6,CA,1691607962
7,mount gambier,-37.8333,140.7667,10.45,67,99,5.46,AU,1691607930
8,jamestown,42.097,-79.2353,27.23,55,0,7.72,US,1691607908
9,puerto ayora,-0.7393,-90.3518,30.98,84,97,3.13,EC,1691607962
10,kupang,-10.1667,123.5833,23.02,81,7,4.92,ID,1691607963
11,papatowai,-46.5619,169.4708,1.83,86,91,2.54,NZ,1691607963
12,lubango,-14.9172,13.4925,15.03,54,0,1.99,AO,1691607942
13,schwedt (oder),53.0596,14.2815,16.8,80,100,3.33,DE,1691607775
14,port-aux-francais,-49.35,70.2167,2.48,78,87,12.06,TF,1691607964
15,polyarnyy,69.1989,33.4478,20.28,72,0,1.8,RU,1691607964
16,torghay,49.6339,63.4981,23.77,53,51,3.7,KZ,1691607964
17,plymstock,50.36,-4.0905,19.86,89,33,0.45,GB,1691607964
18,brookings,44.3114,-96.7984,26.88,61,20,0.0,US,1691607965
19,bethel,41.3712,-73.414,29.45,52,40,4.12,US,1691607862
20,dudinka,69.4058,86.1778,16.46,73,100,9.01,RU,1691607965
21,severo-yeniseyskiy,60.3725,93.0408,9.26,92,2,2.42,RU,1691607965
22,edinburgh of the seven seas,-37.0676,-12.3116,10.66,65,100,10.07,SH,1691607861
23,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,76,0,3.0,RU,1691607965
24,puerto natales,-51.7236,-72.4875,4.5,88,100,1.31,CL,1691607966
25,kingston,17.997,-76.7936,33.53,69,20,10.29,JM,1691607909
26,adamstown,-25.066,-130.1015,19.07,73,19,9.76,PN,1691607966
27,sarandi del yi,-33.35,-55.6333,16.88,72,100,4.64,UY,1691607966
28,college,64.8569,-147.8028,18.66,89,100,0.0,US,1691607967
29,blackmans bay,-43.0167,147.3167,12.07,73,100,4.0,AU,1691607967
30,pacific grove,36.6177,-121.9166,20.3,82,40,5.14,US,1691607967
31,grytviken,-54.2811,-36.5092,-7.19,66,2,3.58,GS,1691607968
32,albany,42.6001,-73.9662,28.03,51,85,1.34,US,1691607922
33,ati,13.2154,18.3353,25.69,79,97,6.82,TD,1691607968
34,kone,-21.0595,164.8658,15.83,78,60,2.01,NC,1691607968
35,hailun,47.45,126.9333,15.25,92,0,0.38,CN,1691607927
36,georgiyevka,43.0369,74.7114,23.02,49,0,3.0,KZ,1691607969
37,beau vallon,-20.4189,57.6953,22.34,73,75,5.14,MU,1691607969
38,atafu village,-8.5421,-172.5159,28.13,80,100,6.49,TK,1691607894
39,vorgashor,67.5833,63.95,9.84,75,61,2.34,RU,1691607969
40,nova sintra,14.8667,-24.7167,23.24,72,66,7.98,CV,1691607970
41,sidon,33.5631,35.3689,27.93,70,0,1.12,LB,1691607970
42,invercargill,-46.4,168.35,0.01,94,93,0.77,NZ,1691607859
43,mombasa,-4.0547,39.6636,25.23,78,20,3.6,KE,1691607971
44,lihue,21.9789,-159.3672,29.58,70,75,9.77,US,1691607971
45,santa cruz,-17.8,-63.1667,31.03,33,0,6.17,BO,1691607971
46,emerald,-23.5333,148.1667,11.69,88,0,1.82,AU,1691607929
47,luanda,-8.8368,13.2343,23.0,73,0,3.6,AO,1691607971
48,sotouboua,8.5667,0.9833,26.02,96,100,1.78,TG,1691607971
49,aasiaat,68.7098,-52.8699,4.93,75,21,3.15,GL,1691607972
50,rongelap,11.1635,166.8941,27.81,76,29,2.22,MH,1691607972
51,ancud,-41.8697,-73.8203,10.6,92,100,6.28,CL,1691607972
52,tiznit,29.5833,-9.5,31.59,31,3,1.0,MA,1691607972
